DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
67,-114.2879028,63.39672852,-15.75163664,2.221211433,7.620855808,2.361505186,8.002714997,-13.39013146,-7.748921647
68,-114.2879028,63.39672852,-15.64801537,2.221211433,7.620855808,2.344423426,7.958025713,-13.30359194,-7.689989658
69,-114.2879028,63.39672852,-15.5443941,2.221211433,7.620855808,2.327341666,7.913336428,-13.21705243,-7.631057669
70,-114.2879028,63.39672852,-15.44077282,2.221211433,7.620855808,2.310259905,7.868647144,-13.13051292,-7.57212568
71,-114.2879028,63.39672852,-15.33715155,2.221211433,7.620855808,2.293178145,7.823957859,-13.04397341,-7.513193691
72,-114.2879028,63.39672852,-15.23353028,2.221211433,7.620855808,2.276096384,7.779268575,-12.95743389,-7.454261703
73,-114.2879028,63.39672852,-15.129909,2.221211433,7.620855808,2.259014624,7.73457929,-12.87089438,-7.395329714
74,-114.2879028,63.39672852,-15.02628773,2.221211433,7.620855808,2.241932864,7.689890006,-12.78435487,-7.336397725
75,-114.2879028,63.39672852,-14.92266646,2.221211433,7.620855808,2.224851103,7.645200722,-12.69781535,-7.277465736
76,-114.2879028,63.39672852,-14.81904518,2.221211433,7.620855808,2.207769343,7.600511437,-12.61127584,-7.218533747
77,-114.2879028,63.39672852,-14.68303921,2.221211433,7.620855808,2.167072018,7.544744684,-12.51596719,-7.138294526
78,-114.2879028,63.39672852,-14.54703324,2.221211433,7.620855808,2.126374693,7.488977931,-12.42065854,-7.058055306
79,-114.2879028,63.39672852,-14.41102726,2.221211433,7.620855808,2.085677369,7.433211178,-12.32534989,-6.977816085
80,-114.2879028,63.39672852,-14.27502129,2.221211433,7.620855808,2.044980044,7.377444426,-12.23004125,-6.897576864
81,-114.2879028,63.39672852,-14.13901532,2.221211433,7.620855808,2.004282719,7.321677673,-12.1347326,-6.817337643
82,-114.2879028,63.39672852,-14.00300934,2.221211433,7.620855808,1.963585394,7.26591092,-12.03942395,-6.737098422
83,-114.2879028,63.39672852,-13.86700337,2.221211433,7.620855808,1.92288807,7.210144167,-11.9441153,-6.656859202
84,-114.2879028,63.39672852,-13.73099739,2.221211433,7.620855808,1.882190745,7.154377414,-11.84880665,-6.576619981
85,-114.2879028,63.39672852,-13.59499142,2.221211433,7.620855808,1.84149342,7.098610661,-11.753498,-6.49638076
86,-114.2879028,63.39672852,-13.45898545,2.221211433,7.620855808,1.800796096,7.042843908,-11.65818935,-6.416141539
87,-114.2879028,63.39672852,-13.30059833,2.221211433,7.620855808,1.76584816,6.99036913,-11.53475017,-6.310229195
88,-114.2879028,63.39672852,-13.1422112,2.221211433,7.620855808,1.730900225,6.937894351,-11.41131098,-6.204316851
89,-114.2879028,63.39672852,-12.98382408,2.221211433,7.620855808,1.695952289,6.885419573,-11.28787179,-6.098404507
90,-114.2879028,63.39672852,-12.82543696,2.221211433,7.620855808,1.661004353,6.832944794,-11.1644326,-5.992492163
91,-114.2879028,63.39672852,-12.66704984,2.221211433,7.620855808,1.626056418,6.780470016,-11.04099342,-5.886579819
92,-114.2879028,63.39672852,-12.50866271,0.96791023,5.85799551,1.591108482,6.727995238,-10.91755423,-5.780667476
93,-114.2879028,63.39672852,-12.35027559,0.96791023,5.85799551,1.556160547,6.675520459,-10.79411504,-5.674755132
94,-114.2879028,63.39672852,-12.19188847,0.96791023,5.85799551,1.521212611,6.623045681,-10.67067586,-5.568842788
95,-114.2879028,63.39672852,-12.03350135,0.96791023,5.85799551,1.486264676,6.570570902,-10.54723667,-5.462930444
96,-114.2879028,63.39672852,-11.87511422,0.96791023,5.85799551,1.45131674,6.518096124,-10.42379748,-5.3570181
97,-114.2879028,63.39672852,-11.6999853,0.96791023,5.85799551,1.410178504,6.474190559,-10.28980679,-5.225794739
98,-114.2879028,63.39672852,-11.52485637,0.96791023,5.85799551,1.369040269,6.430284995,-10.15581611,-5.094571379
99,-114.2879028,63.39672852,-11.34972745,0.96791023,5.85799551,1.327902033,6.38637943,-10.02182542,-4.963348019
100,-114.2879028,63.39672852,-11.17459852,0.96791023,5.85799551,1.286763797,6.342473866,-9.887834727,-4.832124658
101,-114.2879028,63.39672852,-10.9994696,0.96791023,5.85799551,1.245625561,6.298568301,-9.753844038,-4.700901298
102,-114.2879028,63.39672852,-10.82434067,0.96791023,5.85799551,1.204487325,6.254662736,-9.619853349,-4.569677938
103,-114.2879028,63.39672852,-10.64921175,0.96791023,5.85799551,1.163349089,6.210757172,-9.48586266,-4.438454577
104,-114.2879028,63.39672852,-10.47408282,0.96791023,5.85799551,1.122210853,6.166851607,-9.351871972,-4.307231217
