rcp26_raw,rcp85_raw,rcp26_smooth,rcp85_smooth
2.162474632,7.612800121,2.411206185,7.711351273
2.162474632,7.612800121,2.413054318,7.692832125
2.162474632,7.612800121,2.414902452,7.674312978
2.162474632,7.612800121,2.416750585,7.655793831
2.162474632,7.612800121,2.418598719,7.637274684
2.162474632,7.612800121,2.420446852,7.618755536
2.618224859,7.456746101,2.422294986,7.600236389
2.618224859,7.456746101,2.424143119,7.581717242
2.618224859,7.456746101,2.425991252,7.563198095
2.618224859,7.456746101,2.427839386,7.544678947
2.618224859,7.456746101,2.429687519,7.5261598
2.618224859,7.456746101,2.435291362,7.518796439
2.618224859,7.456746101,2.440895205,7.511433079
2.618224859,7.456746101,2.446499048,7.504069718
2.618224859,7.456746101,2.452102891,7.496706357
2.618224859,7.456746101,2.457706734,7.489342996
2.618224859,7.456746101,2.463310577,7.481979636
