"","EID","X","Y","x","y"
"67873",188,-111.974998474121,64.8942031860352,167,195
"67874",189,-111.314300537109,64.91162109375,168,195
"67875",190,-110.65299987793,64.9265594482422,169,195
"67876",191,-109.991096496582,64.9390335083008,170,195
"67877",192,-109.32869720459,64.9490127563477,171,195
"67878",193,-108.665901184082,64.9564971923828,172,195
"67879",194,-108.002899169922,64.9615097045898,173,195
"67880",195,-107.339698791504,64.9640274047852,174,195
"68208",196,-121.221298217773,64.6690292358398,153,196
"68209",197,-120.574996948242,64.7209625244141,154,196
"68210",198,-119.926597595215,64.7704772949219,155,196
"68211",199,-119.276298522949,64.8175964355469,156,196
"68212",200,-118.624000549316,64.8622817993164,157,196
"68213",201,-117.970001220703,64.9045333862305,158,196
"68214",202,-117.314300537109,64.9443435668945,159,196
"68215",203,-116.656997680664,64.9816970825195,160,196
"68216",204,-115.998199462891,65.0166091918945,161,196
"68217",205,-115.337997436523,65.0490493774414,162,196
"68218",206,-114.676498413086,65.0790328979492,163,196
"68219",207,-114.013801574707,65.1065216064453,164,196
"68220",208,-113.349899291992,65.1315383911133,165,196
"68221",209,-112.685096740723,65.1540832519531,166,196
"68222",210,-112.019401550293,65.1741180419922,167,196
"68223",211,-111.352798461914,65.1916732788086,168,196
"68224",212,-110.685600280762,65.2067337036133,169,196
"68225",213,-110.017799377441,65.2192764282227,170,196
"68226",214,-109.349502563477,65.2293319702148,171,196
"68227",215,-108.680801391602,65.2368774414062,172,196
"68228",216,-108.011901855469,65.2419281005859,173,196
"68229",217,-107.342796325684,65.2444610595703,174,196
"68559",218,-120.041000366211,65.0470275878906,155,197
"68560",219,-119.385101318359,65.0944671630859,156,197
"68561",220,-118.72730255127,65.1394805908203,157,197
"68562",221,-118.067596435547,65.1820373535156,158,197
"68563",222,-117.406303405762,65.2221374511719,159,197
"68564",223,-116.743202209473,65.2597732543945,160,197
"68565",224,-116.07869720459,65.294921875,161,197
"68566",225,-115.412696838379,65.3275985717773,162,197
"68567",226,-114.745300292969,65.3577880859375,163,197
"68568",227,-114.076698303223,65.3854904174805,164,197
"68569",228,-113.406997680664,65.4106903076172,165,197
"68570",229,-112.736198425293,65.4333877563477,166,197
"68571",230,-112.064498901367,65.4535827636719,167,197
"68572",231,-111.391998291016,65.4712600708008,168,197
"68573",232,-110.718803405762,65.4864196777344,169,197
"68574",233,-110.044998168945,65.4990692138672,170,197
"68575",234,-109.370697021484,65.5091934204102,171,197
"68576",235,-108.695999145508,65.5167999267578,172,197
"68577",236,-108.021003723145,65.5218811035156,173,197
"68578",237,-107.345901489258,65.5244369506836,174,197
"68909",238,-119.495796203613,65.3708267211914,156,198
"68910",239,-118.832298278809,65.4161605834961,157,198
"68911",240,-118.166999816895,65.4590301513672,158,198
"68912",241,-117.499801635742,65.4994125366211,159,198
"68913",242,-116.831001281738,65.5373229980469,160,198
"68914",243,-116.160499572754,65.5727310180664,161,198
"68915",244,-115.48860168457,65.6056518554688,162,198
"68916",245,-114.815299987793,65.6360626220703,163,198
"68917",246,-114.140800476074,65.6639633178711,164,198
"68918",247,-113.465103149414,65.6893463134766,165,198
"68919",248,-112.788299560547,65.7122116088867,166,198
"68920",249,-112.110496520996,65.732551574707,167,198
"68921",250,-111.431900024414,65.750358581543,168,198
"68922",251,-110.752601623535,65.7656326293945,169,198
"68923",252,-110.072700500488,65.7783737182617,170,198
"68924",253,-109.392303466797,65.7885665893555,171,198
"68925",254,-108.711402893066,65.7962265014648,172,198
"68926",255,-108.030296325684,65.8013534545898,173,198
"68927",256,-107.348999023438,65.8039321899414,174,198
"69259",257,-118.939300537109,65.6923217773438,157,199
"69262",258,-116.920303344727,65.8143615722656,160,199
"69263",259,-116.243896484375,65.8500366210938,161,199
"69264",260,-115.56600189209,65.883186340332,162,199
"69265",261,-114.886703491211,65.9138336181641,163,199
"69266",262,-114.206001281738,65.9419326782227,164,199
"69267",263,-113.524200439453,65.9675064086914,165,199
"69268",264,-112.841300964355,65.9905395507812,166,199
"69269",265,-112.157402038574,66.0110168457031,167,199
"69270",266,-111.472602844238,66.0289688110352,168,199
"69271",267,-110.787101745605,66.0443572998047,169,199
"69272",268,-110.100898742676,66.0571899414062,170,199
"69273",269,-109.414199829102,66.0674667358398,171,199
"69274",270,-108.727096557617,66.0751876831055,172,199
"69275",271,-108.03980255127,66.0803527832031,173,199
"69276",272,-107.352203369141,66.0829391479492,174,199
"69617",273,-112.895202636719,66.2683715820312,166,200
"69618",274,-112.205101013184,66.2890090942383,167,200
"69619",275,-111.513999938965,66.3070831298828,168,200
"69620",276,-110.822196960449,66.3225936889648,169,200
"69621",277,-110.129699707031,66.3355178833008,170,200
"69622",278,-109.436599731445,66.3458709716797,171,200
"69623",279,-108.743202209473,66.3536529541016,172,200
"69624",280,-108.04940032959,66.3588409423828,173,200
"69625",281,-107.355499267578,66.361457824707,174,200
"69967",282,-112.253601074219,66.5664672851562,167,201
"69968",283,-111.556198120117,66.5846862792969,168,201
"69969",284,-110.857902526855,66.6003036499023,169,201
"69970",285,-110.158897399902,66.6133270263672,170,201
"69971",286,-109.459396362305,66.6237564086914,171,201
"69972",287,-108.759498596191,66.631591796875,172,201
"69973",288,-108.059196472168,66.636833190918,173,201
"70316",289,-112.303199768066,66.8434219360352,167,202
"70317",290,-111.599098205566,66.8617630004883,168,202
"70318",291,-110.894302368164,66.8775024414062,169,202
"70319",292,-110.18879699707,66.8906326293945,170,202
"70320",293,-109.482696533203,66.9011383056641,171,202
"70321",294,-108.776100158691,66.9090270996094,172,202
"70322",295,-108.069297790527,66.914306640625,173,202
"70665",296,-112.35359954834,67.1198272705078,167,203
"70666",297,-111.64289855957,67.138313293457,168,203
"70667",298,-110.931396484375,67.154167175293,169,203
"70668",299,-110.219200134277,67.1673965454102,170,203
"70669",300,-109.506301879883,67.1779937744141,171,203
"70670",301,-108.793098449707,67.1859436035156,172,203
"70671",302,-108.079498291016,67.1912536621094,173,203
"71015",303,-111.6875,67.414306640625,168,204
"71016",304,-110.969200134277,67.430290222168,169,204
"71017",305,-110.250099182129,67.4436187744141,170,204
"71018",306,-109.530502319336,67.4542770385742,171,204
"71019",307,-108.810302734375,67.4623031616211,172,204
"71020",308,-108.089897155762,67.467658996582,173,204
"71365",309,-111.007797241211,67.7058715820312,169,205
"71366",310,-110.281700134277,67.7192993164062,170,205
"71367",311,-109.555099487305,67.7300491333008,171,205
