DOY,movementRate
118.3166893,12.42039339
117.7940125,20.83348361
118.7766058,5.917739952
118.2492868,4.955583848
119.1359645,6.498752092
119.1616515,19.4065178
118.7920872,5.308839229
119.8955622,6.97595673
119.5825899,18.97424476
120.0036148,18.54661983
120.0549216,12.33831144
120.5843547,7.490346144
120.4243803,18.1050506
121.0929058,7.924168542
120.8453187,17.67277757
120.9730446,13.00980654
121.5942302,11.81204356
121.2663436,17.24515263
121.7458345,8.432360494
121.7718502,16.74687662
122.053456,13.43743147
122.2266401,8.912044117
122.1074708,16.34032306
122.5290723,15.94368544
122.9432935,9.386769769
122.9499242,15.50676431
123.9047201,13.79440533
123.5645483,11.39474773
123.5964529,9.907356647
123.3710356,15.08378747
124.6283917,14.64630857
124.3255078,10.3898734
124.1266144,14.19228245
125.1872124,10.86538111
125.1255655,13.3159612
126.2081236,11.49438386
126.278728,12.85037681
126.8317282,12.44187748
126.5944822,11.95251938
126.3748251,15.1330573
127.0408194,10.57978136
127.294403,15.56254148
127.9797014,16.08126912
128.2116284,10.10195698
128.3310514,16.52004948
128.9652325,12.41841918
128.9833459,16.99415539
130.0399113,12.84672473
129.2752957,9.629710312
129.5296058,17.53333466
129.7464838,11.89798171
129.7775965,13.57005718
130.0750008,18.02603295
130.3391706,9.168619078
130.4307559,14.09064406
130.7283332,18.55591602
130.8113966,11.49266764
131.2745931,19.09509529
131.0840307,14.6174284
131.4029071,8.700090888
132.3378799,12.83875656
131.8199882,19.58779358
131.7373054,15.14421274
131.8762401,11.08363509
132.4733206,20.11767665
132.3904648,15.66479961
132.466782,8.238999654
133.0195805,20.65685592
133.4004501,10.66079106
133.0436242,16.18538649
134.3981458,21.09790869
134.1737586,7.757963857
133.696553,16.69357844
134.166069,13.1083462
134.0955291,10.47008627
134.2164051,21.57717915
135.2039125,17.01190267
135.3549367,13.60104449
135.4144407,11.03529488
135.9115752,20.46163584
136.5373414,7.982762736
136.4362477,14.07700964
136.2800153,11.44432743
136.5467451,20.01541852
137.5645076,17.07613092
137.1819149,19.56920119
137.1458493,11.86730427
137.517697,14.56041174
137.8170848,19.12298387
138.0117699,12.2949292
138.9027484,8.305594209
138.4522546,18.67676655
138.4907419,14.98152934
138.877431,12.70860984
139.0874245,18.23054922
140.013587,17.09269505
139.464029,15.41566161
139.7225943,17.7843319
139.7431785,13.12693859
140.1460409,17.48685368
141.1881998,15.85869166
141.2626237,13.4543712
140.7308746,8.571803408
142.0307068,16.18073839
141.3676012,16.85471248
141.1496508,13.78696838
141.6298337,16.53864187
141.4897227,9.008724537
141.9278722,9.501422832
142.3660218,9.994121126
142.6282542,15.44169095
143.5632501,12.85734895
142.9960024,15.0326584
142.8040849,10.48217132
143.5237884,14.57900413
144.2760979,12.35907294
143.8502758,10.99191264
144.4122085,16.2158104
143.7665552,14.17740853
144.2286332,11.47324892
144.8842719,13.72809248
144.7922402,11.93835375
145.0522177,13.14785502
145.5629742,12.73959716
146.0529735,10.73549262
146.8606384,16.19747154
146.6529241,11.48416826
146.264913,14.34474003
146.5365215,10.16866192
146.4825175,12.20661536
146.7475175,14.92110407
147.6798957,9.69850215
147.9816804,15.37794562
147.9280824,9.203944616
148.4509411,15.89587644
148.954136,11.03297083
148.7062462,8.757727292
148.2343547,16.44196145
149.0252528,10.53223797
150.3320671,10.15912857
150.720904,15.20618736
150.0826041,14.66081064
150.3971031,14.13462883
149.9052619,11.71701579
150.6076637,13.60320213
150.821115,13.18138772
151.2283018,12.21591155
151.1418135,9.008724537
151.8097936,12.63126551
152.5577995,17.22449442
152.5711187,16.6594924
152.5635077,16.25045985
152.5558967,15.8414273
152.3482288,9.8040656
152.5100926,19.1434355
152.4998524,18.5931008
152.6853178,18.18592749
152.5917029,17.76573951
152.8473622,15.3673214
152.330739,21.03180242
152.3208216,20.49882062
152.4213556,20.13812828
152.4136235,19.7225884
153.5407852,12.02212165
153.5492736,9.286134778
153.5234698,11.48564385
